iter	MultiClass
0	1.085927487
1	1.074383858
2	1.063537679
3	1.054147297
4	1.045339365
5	1.036754051
6	1.028387964
7	1.021197197
8	1.014766621
9	1.00849164
10	1.002717664
11	0.9974620406
12	0.9929430927
13	0.9883227519
14	0.9841538117
15	0.9802989007
16	0.9764284181
17	0.9734296007
18	0.9701987293
19	0.9671570094
20	0.9639837205
21	0.9612550734
22	0.9588902437
23	0.956409894
24	0.9540673656
25	0.9518568677
26	0.9498601429
27	0.9477955408
28	0.9462147112
29	0.9447503849
30	0.943355692
31	0.9417595831
32	0.9401817372
33	0.9388737278
34	0.9374561033
35	0.9362202591
36	0.9350624456
37	0.9338232934
38	0.9328223824
39	0.9319424593
40	0.9308275974
41	0.930039375
42	0.9292501704
43	0.9284645646
44	0.92775485
45	0.9269508053
46	0.9263433662
47	0.9257562972
48	0.925124555
49	0.9245858081
50	0.9240347226
51	0.9234110627
52	0.9227810953
53	0.922214701
54	0.921675706
55	0.920967639
56	0.9205669692
57	0.9200410759
58	0.9195140648
59	0.9190830239
60	0.9187368746
61	0.9182530095
62	0.9179695224
63	0.9175653923
64	0.9172984391
65	0.9169407062
66	0.9166952574
67	0.9164298561
68	0.9160344563
69	0.9155828594
70	0.9152893783
71	0.9149769096
72	0.9145926074
73	0.9142871264
74	0.9140581017
75	0.9138496057
76	0.9135612078
77	0.9133474303
78	0.9131689243
79	0.9127692008
80	0.9125763887
81	0.9122903216
82	0.9119723238
83	0.9117204225
84	0.9114229853
85	0.9111992737
86	0.9109697656
87	0.9107027816
88	0.9104831532
89	0.9102672008
90	0.9101309917
91	0.909995995
92	0.90973095
93	0.9094747435
94	0.9093831141
95	0.9091934078
96	0.9090188071
97	0.9088243146
98	0.9086484995
99	0.9084958322
100	0.9083289846
101	0.9081714828
102	0.9080075894
103	0.9076673926
104	0.90752718
105	0.9073901715
106	0.9072827095
107	0.9070836879
108	0.9069531711
109	0.906805497
110	0.9066230204
111	0.9065348379
112	0.9063593735
113	0.9062122896
114	0.9060385944
115	0.905749838
116	0.9055324768
117	0.9054244594
118	0.9051665482
119	0.9050051461
120	0.9048823685
121	0.9046630957
122	0.9045277169
123	0.9042432239
124	0.9041486378
125	0.903929514
126	0.9036966293
127	0.9035597307
128	0.9034420189
129	0.9033216063
130	0.9031789444
131	0.9030913081
132	0.9029247639
133	0.9028265341
134	0.9026096755
135	0.9024236228
136	0.9023351253
137	0.9022132213
138	0.9019447771
139	0.9018332621
140	0.9016780804
141	0.9014927366
142	0.9014011047
143	0.9012167968
144	0.9010914066
145	0.9007879767
146	0.9007261041
147	0.9006553622
148	0.9005221744
149	0.9003163095
150	0.9002501934
151	0.9001412701
152	0.8999848555
153	0.8998740479
154	0.8997050636
155	0.8996740047
156	0.8995024502
157	0.8993607346
158	0.8992357026
159	0.899085258
160	0.8989499895
161	0.898908636
162	0.8987525504
163	0.8986329465
164	0.898376024
165	0.898191392
166	0.8978853409
167	0.8976869922
168	0.8974845382
169	0.8972990194
170	0.897189823
171	0.8971033537
172	0.8968777441
173	0.8967778188
174	0.8965966082
175	0.8964552466
176	0.8963439693
177	0.8961015588
178	0.8959001175
179	0.8956680274
180	0.8953624828
181	0.8952437452
182	0.8950667031
183	0.8948831625
184	0.894713435
185	0.8945648665
186	0.8944341849
187	0.8943578144
188	0.8942191949
189	0.8938301751
190	0.8936336779
191	0.8933866449
192	0.8931993448
193	0.8930194154
194	0.892914657
195	0.8927432316
196	0.8926019485
197	0.8924468848
198	0.8922991655
199	0.8921250447
200	0.8919512379
201	0.8916895999
202	0.8915282328
203	0.8913805382
204	0.8912476883
205	0.8910432718
206	0.8909576555
207	0.8906897735
208	0.8905642909
209	0.8903591687
210	0.8900840925
211	0.8899070308
212	0.8896650249
213	0.8894023554
214	0.8892276393
215	0.8890175351
216	0.8886769622
217	0.8884618689
218	0.8882975739
219	0.8880772371
220	0.8879008741
221	0.8876916345
222	0.887532585
223	0.8873820583
224	0.8872220246
225	0.8870508579
226	0.8868736258
227	0.8866174069
228	0.8864951672
229	0.886330362
230	0.8861774164
231	0.8860680458
232	0.8859135036
233	0.8858036487
234	0.8855851685
235	0.8854386448
236	0.8852019737
237	0.8848569991
238	0.884710971
239	0.8845286175
240	0.8843562358
241	0.8841879592
242	0.8840318262
243	0.8839530888
244	0.8837728961
245	0.8836859013
246	0.8835589292
247	0.8833894681
248	0.8831717777
249	0.8829353353
250	0.8827321917
251	0.8825540769
252	0.8824636609
253	0.8823946226
254	0.8821140582
255	0.8818860246
256	0.8818556728
257	0.8815673307
258	0.8812195506
259	0.8808104741
260	0.8806483776
261	0.8804927048
262	0.8802353626
263	0.8799251148
264	0.8796212624
265	0.879431313
266	0.8792844413
267	0.8789798667
268	0.8787367331
269	0.8786147575
270	0.8785602242
271	0.8784836052
272	0.8782824434
273	0.8781219477
274	0.8779918169
275	0.8776499543
276	0.8774197614
277	0.8772422124
278	0.8771123302
279	0.8769162147
280	0.8765587213
281	0.8764349514
282	0.8761791534
283	0.8761107668
284	0.8759632357
285	0.8756843569
286	0.875576592
287	0.8755059267
288	0.8753640452
289	0.8751589812
290	0.8748063091
291	0.8746886681
292	0.874439011
293	0.874173576
294	0.8738696982
295	0.8736406022
296	0.8734744433
297	0.8731703425
298	0.8730211228
299	0.872860772
300	0.872775192
301	0.8725585409
302	0.8721612399
303	0.8719654387
304	0.8717349184
305	0.8714815462
306	0.871163161
307	0.8710627849
308	0.8709400497
309	0.8707465075
310	0.870472739
311	0.8702328504
312	0.870184437
313	0.8699261782
314	0.8697405114
315	0.8696300828
316	0.8694054013
317	0.8693020563
318	0.8691656797
319	0.8689195515
320	0.8687173826
321	0.8685489373
322	0.8684559652
323	0.8682252115
324	0.8680840521
325	0.8679561568
326	0.8677413453
327	0.8676990097
328	0.8673638219
329	0.8671524044
330	0.8669623211
331	0.8668868847
332	0.8667274085
333	0.866470293
334	0.8661708267
335	0.8659229458
336	0.8657367192
337	0.8656344401
338	0.8653716139
339	0.8652225785
340	0.8651511549
341	0.8648376323
342	0.8647448231
343	0.864601743
344	0.8644147484
345	0.8641950113
346	0.8640331377
347	0.8638725379
348	0.8637845859
349	0.8636215833
350	0.8634604454
351	0.8632636353
352	0.8631524475
353	0.8629166712
354	0.8628372915
355	0.8626853902
356	0.8625441181
357	0.8625034661
358	0.86240899
359	0.8622716339
360	0.8621831489
361	0.8619973492
362	0.8619058833
363	0.861673266
364	0.8615086402
365	0.8613123797
366	0.861067322
367	0.860777468
368	0.8606723878
369	0.8604076809
370	0.8602440736
371	0.8600763672
372	0.859909985
373	0.859768156
374	0.8596409752
375	0.8594380374
376	0.8593061587
377	0.8590400162
378	0.8588676866
379	0.8587659337
380	0.8586344944
381	0.8583399414
382	0.8581153089
383	0.8580423999
384	0.8578992901
385	0.8576265129
386	0.8574883035
387	0.8572860788
388	0.8571261986
389	0.8570561912
390	0.8568256544
391	0.8566772721
392	0.8566304739
