iter	Passed	Remaining
0	158	78907
1	161	40251
2	166	27533
3	171	21317
4	177	17590
5	184	15160
6	188	13305
7	193	11894
8	197	10773
9	201	9857
10	204	9085
11	207	8452
12	211	7926
13	215	7470
14	218	7058
15	221	6695
16	224	6373
17	227	6090
18	230	5840
19	233	5611
20	236	5400
21	239	5205
22	242	5033
23	245	4877
24	248	4726
25	251	4588
26	254	4460
27	257	4340
28	261	4247
29	264	4148
30	267	4049
31	270	3956
32	273	3869
33	276	3793
34	279	3718
35	282	3646
36	285	3575
37	288	3510
38	291	3448
39	294	3389
40	297	3332
41	300	3279
42	303	3228
43	307	3182
44	310	3135
45	313	3089
46	315	3044
47	318	3000
48	321	2960
49	324	2921
50	327	2882
51	330	2845
52	333	2809
53	336	2775
54	339	2744
55	342	2712
56	345	2681
57	347	2651
58	350	2622
59	353	2594
60	356	2568
61	359	2541
62	362	2515
63	365	2490
64	368	2466
65	371	2445
66	374	2422
67	377	2399
68	380	2377
69	383	2356
70	386	2338
71	390	2318
72	393	2299
73	396	2279
74	398	2260
75	401	2241
76	405	2229
77	409	2216
78	412	2198
79	415	2182
80	418	2166
81	422	2152
82	425	2136
83	428	2120
84	430	2104
85	433	2087
86	437	2074
87	440	2060
88	442	2045
89	445	2031
90	448	2016
91	451	2003
92	454	1990
93	457	1976
94	460	1963
95	463	1950
96	466	1938
97	470	1928
98	473	1916
99	475	1903
100	478	1891
101	481	1878
102	484	1866
103	487	1855
104	490	1844
105	493	1832
106	495	1821
107	498	1809
108	501	1800
109	504	1790
110	507	1778
111	510	1768
112	513	1757
113	516	1747
114	519	1738
115	522	1728
116	525	1719
117	527	1709
118	530	1699
119	534	1692
120	538	1686
121	542	1679
122	546	1673
123	550	1669
124	554	1662
125	557	1655
126	561	1648
127	564	1641
128	568	1636
129	572	1630
130	577	1625
131	581	1619
132	585	1615
133	588	1608
134	591	1600
135	594	1592
136	598	1585
137	601	1578
138	604	1570
139	607	1562
140	610	1554
141	613	1546
142	617	1540
143	620	1533
144	623	1525
145	626	1517
146	628	1510
147	632	1504
148	635	1497
149	638	1489
150	641	1482
151	644	1474
152	647	1468
153	650	1462
154	653	1455
155	655	1445
156	658	1438
157	661	1431
158	665	1427
159	668	1420
160	671	1413
161	674	1407
162	677	1400
163	681	1395
164	684	1390
165	688	1386
166	692	1381
167	696	1376
168	699	1369
169	702	1363
170	705	1357
171	708	1351
172	712	1345
173	715	1339
174	718	1333
175	721	1327
176	724	1321
177	727	1315
178	730	1309
179	733	1303
180	736	1297
181	738	1291
182	741	1284
183	745	1279
184	748	1274
185	751	1268
186	753	1261
187	756	1255
188	759	1250
189	763	1246
190	767	1240
191	770	1235
192	773	1229
193	776	1224
194	779	1218
195	782	1213
196	784	1207
197	787	1201
198	790	1195
199	793	1190
200	796	1185
201	799	1179
202	802	1173
203	804	1167
204	807	1161
205	811	1158
206	814	1152
207	817	1147
208	819	1141
209	822	1136
210	826	1131
211	829	1126
212	832	1121
213	834	1115
214	837	1110
215	840	1105
216	844	1100
217	847	1095
218	850	1090
219	852	1085
220	855	1080
221	859	1076
222	862	1071
223	865	1066
224	868	1061
225	870	1055
226	873	1051
227	877	1046
228	881	1042
229	884	1038
230	887	1034
231	891	1030
232	894	1025
233	897	1020
234	901	1016
235	904	1011
236	908	1007
237	911	1003
238	914	999
239	917	994
240	920	989
241	924	985
242	926	980
243	929	975
244	932	970
245	935	965
246	938	961
247	941	957
248	944	952
249	948	948
250	951	943
251	954	938
252	957	934
253	960	929
254	963	925
255	966	920
256	968	915
257	972	911
258	975	907
259	978	903
260	981	898
261	984	894
262	987	890
263	991	885
264	994	881
265	997	877
266	1000	872
267	1003	868
268	1006	864
269	1009	859
270	1012	855
271	1015	850
272	1018	846
273	1021	842
274	1024	838
275	1027	833
276	1030	829
277	1033	825
278	1036	820
279	1039	816
280	1042	812
281	1045	808
282	1049	804
283	1052	800
284	1055	796
285	1058	792
286	1061	788
287	1064	783
288	1068	780
289	1073	777
290	1077	773
291	1080	769
292	1083	765
293	1087	762
294	1091	758
295	1095	754
296	1098	750
297	1102	747
298	1105	743
299	1109	739
300	1112	735
301	1115	731
302	1119	728
303	1123	724
304	1127	720
305	1130	716
306	1134	713
307	1138	709
308	1141	705
309	1145	701
310	1149	698
311	1153	695
312	1157	691
313	1161	687
314	1165	684
315	1169	680
316	1173	677
317	1177	673
318	1181	670
319	1185	667
320	1189	663
321	1193	659
322	1197	656
323	1202	653
324	1206	649
325	1209	645
326	1214	642
327	1218	638
328	1222	635
329	1225	631
330	1230	628
331	1234	624
332	1237	620
333	1241	616
334	1244	613
335	1250	610
336	1253	606
337	1257	602
338	1261	599
339	1266	595
340	1270	592
341	1273	588
342	1277	584
343	1282	581
344	1286	578
345	1290	574
346	1293	570
347	1299	567
348	1302	563
349	1306	560
350	1310	556
351	1315	552
352	1318	549
353	1322	545
354	1325	541
355	1330	538
356	1334	534
357	1337	530
358	1341	526
359	1346	523
360	1350	519
361	1353	516
362	1357	512
363	1361	508
364	1365	505
365	1369	501
366	1373	497
367	1377	494
368	1381	490
369	1385	486
370	1389	483
371	1393	479
372	1397	475
373	1400	471
374	1404	468
375	1409	464
376	1413	461
377	1417	457
378	1421	453
379	1425	450
380	1429	446
381	1433	442
382	1436	438
383	1439	434
384	1444	431
385	1448	427
386	1451	423
387	1455	420
388	1459	416
389	1462	412
390	1466	408
391	1469	404
392	1472	401
393	1477	397
394	1480	393
395	1484	389
396	1487	385
397	1491	382
398	1495	378
399	1498	374
400	1501	370
401	1505	367
402	1509	363
403	1512	359
404	1516	355
405	1519	351
406	1523	348
407	1527	344
