NUEVO_ID,ATSEG_first,Model_Prediction,Match
3,SEG_A,SEG_A,True
11,SEG_A,SEG_A,True
18,SEG_A,SEG_B,False
19,SEG_A,SEG_A,True
20,SEG_A,SEG_A,True
21,SEG_B,SEG_A,False
22,SEG_A,SEG_A,True
23,SEG_A,SEG_A,True
24,SEG_A,SEG_A,True
27,SEG_A,SEG_A,True
31,SEG_B,SEG_A,False
34,SEG_A,SEG_A,True
37,SEG_A,SEG_A,True
42,SEG_A,SEG_A,True
47,SEG_A,SEG_A,True
58,SEG_B,SEG_B,True
62,SEG_A,SEG_A,True
63,SEG_A,SEG_A,True
64,SEG_A,SEG_A,True
66,SEG_A,SEG_A,True
67,SEG_A,SEG_A,True
68,SEG_B,SEG_B,True
69,SEG_B,SEG_B,True
75,SEG_A,SEG_A,True
76,SEG_A,SEG_A,True
77,SEG_A,SEG_B,False
78,SEG_A,SEG_A,True
79,SEG_A,SEG_A,True
81,SEG_A,SEG_A,True
83,SEG_A,SEG_A,True
84,SEG_A,SEG_A,True
87,SEG_A,SEG_A,True
88,SEG_A,SEG_A,True
90,SEG_A,SEG_A,True
91,SEG_A,SEG_A,True
92,SEG_B,SEG_C,False
95,SEG_C,SEG_A,False
96,SEG_A,SEG_B,False
99,SEG_B,SEG_B,True
100,SEG_A,SEG_A,True
107,SEG_B,SEG_A,False
109,SEG_B,SEG_B,True
110,SEG_B,SEG_B,True
111,SEG_B,SEG_B,True
113,SEG_A,SEG_A,True
116,SEG_A,SEG_A,True
117,SEG_A,SEG_A,True
119,SEG_A,SEG_A,True
121,SEG_A,SEG_A,True
123,SEG_A,SEG_A,True
124,SEG_A,SEG_A,True
125,SEG_B,SEG_A,False
128,SEG_C,SEG_A,False
129,SEG_B,SEG_B,True
130,SEG_A,SEG_A,True
131,SEG_C,SEG_C,True
132,SEG_A,SEG_A,True
134,SEG_B,SEG_A,False
135,SEG_A,SEG_A,True
136,SEG_A,SEG_A,True
137,SEG_B,SEG_B,True
138,SEG_C,SEG_C,True
140,SEG_A,SEG_A,True
141,SEG_A,SEG_A,True
142,SEG_A,SEG_A,True
145,SEG_B,SEG_B,True
149,SEG_A,SEG_A,True
151,SEG_A,SEG_C,False
153,SEG_A,SEG_B,False
