Feature,Importance
ORAL_TRX_mean,0.06859179693076989
ORAL_TRX_sum,0.06718247856671374
N_CLMBRAND3_mean,0.041913852236047704
ORAL_NRX_mean,0.0391420505655882
TOTAL_TRX_mean,0.03649101366635046
TOTAL_TRX_sum,0.035769191896388955
N_CLMBRAND3_sum,0.03299885532331276
TOTAL_NRX_mean,0.029575001892062323
UC_TRX_sum,0.02895997265679763
ORAL_NRX_sum,0.02823453256645674
UC_TRX_mean,0.025460056563871725
ORAL_TRX_max,0.024712670682492454
UC_NRX_sum,0.024633467832377107
N_CLMBRAND3_NEW_mean,0.02346803697419738
UC_NRX_mean,0.022813124540188662
UC_TRX_R4_16SUM_mean,0.022068466369927143
N_CLMBRAND3_NEW_sum,0.021981713951782243
UC_TRX_R4_16SUM_sum,0.019826299193241134
TOTAL_NRX_sum,0.018268632205043694
N_CLMOTHERS_mean,0.01818405469892609
IL23_TRX_mean,0.017445948690139018
TOTAL_NRX_max,0.014511606548339533
N_CLMOTHERS_sum,0.01436531459382124
IL23_TRX_sum,0.013876703815593106
ORAL_NRX_max,0.01368712342818076
BRAND1_MARKET_SHARE_mean,0.011656523356552905
N_CLMOTHERS_max,0.010766392229598434
N_CLMBRAND3_max,0.00937334606441146
UC_TRX_max,0.009037199993189561
IL23_NRX_sum,0.008945228180740453
IL23_NRX_mean,0.008814342402281412
ORAL_NBRX_R4_29SUM_sum,0.008783962761668318
ENGAGEMENT_SCORE_sum,0.008703745879062696
ENGAGEMENT_SCORE_mean,0.008092686288996346
UC_TRX_R4_16SUM_max,0.007682289059921921
TOTAL_TRX_max,0.0076464717452228645
N_CLMOTHERS_NEW_mean,0.007576098657706136
DETAILS_mean,0.007450776555291893
N_CLMOTHERS_NEW_sum,0.007406439079966302
N_CLMOTHERS_NEW_TO_BRAND_sum,0.0071669011975405775
DETAILS_sum,0.0070924621758334735
IL23_NBRX_R4_29SUM_mean,0.00645024850813971
N_CLMOTHERS_NEW_TO_BRAND_mean,0.0064048222714058215
ORAL_NBRX_mean,0.0061407837273941505
UC_NRX_max,0.006074267912977191
ORAL_NBRX_R4_29SUM_mean,0.005890602708844336
IL23_NBRX_R4_29SUM_sum,0.005483959554567309
N_CLMBRAND3NEW_TO_BRAND_sum,0.005411674597924065
IL23_TRX_max,0.005306252812767305
N_CLMBRAND3_NEW_max,0.005114040431639408
DIRECTMAIL_mean,0.004822641634074055
ORAL_NBRX_sum,0.004820836865077644
N_CLMBRAND4_sum,0.004573819412575477
DIRECTMAIL_sum,0.004471940340627955
RTE_sum,0.003999579860385574
N_CLMBRAND4_mean,0.0038722038487304365
IL23_NBRX_sum,0.003648543304829319
N_CLMBRAND3NEW_TO_BRAND_mean,0.0033379022191556995
BRAND2_T_GIDX_mean,0.003236559569178645
RTE_mean,0.0031994525437070926
IL23_NBRX_mean,0.0031580288641126926
IL23_NRX_max,0.0027697645864686133
N_CLMBRAND4_NEW_sum,0.0025235584773630644
BRAND2_TRX_sum,0.0023816209881380233
BRAND2_TRX_mean,0.002326435992555803
N_CLMBRAND2_mean,0.0021785560792775462
"(1960, 1980]_first",0.0021182875028577545
N_CLMBRAND4_NEW_mean,0.0020950953166147886
N_CLMBRAND2_sum,0.0020424899570501867
SAMPLES_sum,0.0020282386783059474
ORAL_NBRX_R4_29SUM_max,0.0018233350676975773
IL23_NBRX_R4_29SUM_max,0.001721821206460918
STATE_6_first,0.0016471117207958166
STATE_8_first,0.0016038303155311451
BRAND2_NRX_mean,0.0013837695489887266
BRAND1_T_GIDX_mean,0.0011640382330077245
SAMPLES_mean,0.0011370735381400724
SPK_mean,0.001107831885650541
NBRx_RATIO_max,0.001072251747935888
BRAND2_NRX_sum,0.0010076809148361805
BRAND2_T_GIDX_max,0.0009818814201101869
SPK_sum,0.0009550890605611024
N_CLMBRAND4_max,0.0009422015530979015
N_CLMOTHERS_NEW_max,0.0009337465265318946
COPAY_mean,0.0009153060633201697
N_CLMBRAND1_sum,0.0009031107171521192
N_CLMBRAND2_NEW_sum,0.0008963826221935009
NBRx_RATIO_mean,0.0008699212142117426
COPAY_sum,0.0008473986116207425
N_CLMBRAND4_NEW_max,0.0008204144886216971
STATE_7_first,0.0008163311940810954
ORAL_NBRX_max,0.0008086460661309471
BRAND2_NTB_GIDX_mean,0.0008043412543704271
N_CLMBRAND3NEW_TO_BRAND_max,0.0007339246214546112
BRAND1_TRX_mean,0.000670554002562351
BRAND1_TRX_sum,0.0006643262265269826
N_CLMBRAND4_NEW_TO_BRAND_sum,0.0006583528476881731
BRAND1_NTB_GIDX_mean,0.0006520324444964716
STATE_3_first,0.0006495219007935245
N_CLMBRAND1_mean,0.0006172483914824735
N_CLMBRAND2_NEW_mean,0.0006112578687454825
N_CLMOTHERS_NEW_TO_BRAND_max,0.0006076015259563674
STS_OTHER_STS_first,0.0005988446551650586
STATE_1_first,0.0005845892622594993
"(1980, 2000]_first",0.0005159594651671307
BRAND2_TRX_max,0.0004824034354438207
N_CLMBRAND4_NEW_TO_BRAND_max,0.0004723453331067669
N_CLMBRAND1_NEW_TO_BRAND_sum,0.0004716689367944967
N_CLMBRAND4_NEW_TO_BRAND_mean,0.0004682328081754507
BRAND2_NBRX_sum,0.00044398848566331174
N_CLMBRAND1_NEW_sum,0.00043760561424842755
N_CLMBRAND2_NEW_TO_BRAND_mean,0.000427605149390955
N_CLMBRAND2_NEW_TO_BRAND_sum,0.0004219945905455326
"(1940, 1960]_first",0.0004093237271022966
BRAND1_NRX_sum,0.0003975329324821679
STATE_2_first,0.00039381409968672815
IL23_NBRX_max,0.0003931609591903987
BRAND1_NBRX_mean,0.00038155189218557373
N_CLMBRAND2_max,0.00037605090669665044
BRAND1_T_GIDX_max,0.00035132389735382206
N_CLMBRAND1_NEW_TO_BRAND_mean,0.00034580268849844986
N_CLMBRAND1_NEW_mean,0.0003409663678942362
BRAND2_NRX_max,0.0003407348050309911
STATE_5_first,0.0003368170546122601
BRAND1_NBRX_sum,0.0003159658272844023
SPEC_GE_first,0.0003106275300981209
N_CLMBRAND1_NEW_max,0.0003020001491331504
BRAND2_NBRX_mean,0.0002891688392512038
BRAND1_NRX_mean,0.0002859383669574972
BRAND2_NBRX_max,0.00025146249939220276
N_CLMBRAND2_NEW_max,0.00019986354613116757
N_CLMBRAND2_NEW_TO_BRAND_max,0.00015227587042275894
STATE_4_first,0.00015144791922583944
BRAND2_NTB_GIDX_max,0.00013313763926144464
N_CLMBRAND1_NEW_TO_BRAND_max,0.00012911248861736032
BRAND1_MARKET_SHARE_max,0.00012891293171279742
SPEC_NRP_first,0.00012559968751936604
N_CLMBRAND1_max,0.00011470788471192985
BRAND1_NBRX_max,0.00010214280533871295
BRAND1_TRX_max,9.987452720408932e-05
SPEC_GPFM_first,8.173902851551738e-05
SPEC_IM_first,6.881220263259014e-05
BRAND1_NTB_GIDX_max,6.349155051328599e-05
SPEC_OTHER_SPEC_first,1.4753919401578135e-05
SPEC_PHA_first,1.2440498534216084e-05
BRAND1_NRX_max,6.831837352128092e-06
