feature,importance
ORAL_TRX_sum,0.06555456
ORAL_TRX_mean,0.05654497
N_CLMOTHERS_mean,0.030298516
N_CLMOTHERS_sum,0.029981716
TOTAL_TRX_sum,0.021974666
UC_TRX_sum,0.021843608
ORAL_TRX_max,0.021192823
N_CLMOTHERS_max,0.018010981
N_CLMBRAND3_sum,0.015737645
IL23_TRX_mean,0.013791205
IL23_TRX_sum,0.013277245
N_CLMBRAND3_max,0.012950056
ORAL_NBRX_max,0.012618698
IL23_TRX_max,0.011631316
N_CLMBRAND3_mean,0.011296854
STATE_4_first,0.010700275
TOTAL_TRX_mean,0.010601839
ORAL_NRX_sum,0.010226503
UC_TRX_mean,0.009503884
N_CLMOTHERS_NEW_TO_BRAND_max,0.00923186
N_CLMOTHERS_NEW_TO_BRAND_mean,0.009184436
STATE_1_first,0.0091437865
N_CLMBRAND1_NEW_max,0.0091026835
STATE_8_first,0.008599428
N_CLMBRAND4_max,0.008582922
IL23_NRX_sum,0.008274609
IL23_NRX_mean,0.008087138
DETAILS_mean,0.007976752
BRAND2_NTB_GIDX_max,0.007972945
ENGAGEMENT_SCORE_mean,0.0079511795
UC_TRX_R4_16SUM_sum,0.007788575
N_CLMBRAND4_NEW_max,0.007513385
ENGAGEMENT_SCORE_sum,0.0074175447
STATE_6_first,0.007340907
BRAND1_MARKET_SHARE_mean,0.0072231665
N_CLMOTHERS_NEW_sum,0.00703069
N_CLMOTHERS_NEW_max,0.0069935713
IL23_NBRX_max,0.006879513
DETAILS_sum,0.006830641
ORAL_NBRX_mean,0.006829604
IL23_NBRX_sum,0.0067879236
ORAL_NBRX_sum,0.006766828
ORAL_NRX_max,0.006659225
TOTAL_NRX_sum,0.0066378135
N_CLMBRAND2_NEW_TO_BRAND_sum,0.0065385406
UC_NRX_sum,0.006377953
N_CLMBRAND3_NEW_mean,0.006364981
IL23_NBRX_R4_29SUM_mean,0.00622573
UC_TRX_R4_16SUM_mean,0.006214395
ORAL_NRX_mean,0.006173676
TOTAL_NRX_mean,0.0061673126
DIRECTMAIL_sum,0.0060791867
IL23_NRX_max,0.0060156337
N_CLMBRAND1_mean,0.005978819
ORAL_NBRX_R4_29SUM_max,0.005970938
ORAL_NBRX_R4_29SUM_mean,0.0059566963
STATE_5_first,0.005855143
STATE_3_first,0.00578868
IL23_NBRX_R4_29SUM_max,0.005769524
RTE_mean,0.0056967544
N_CLMOTHERS_NEW_TO_BRAND_sum,0.005652587
IL23_NBRX_R4_29SUM_sum,0.005648499
UC_TRX_max,0.005645127
BRAND2_NRX_mean,0.0056239036
N_CLMBRAND4_mean,0.005622111
N_CLMOTHERS_NEW_mean,0.005614753
ORAL_NBRX_R4_29SUM_sum,0.005571456
DIRECTMAIL_mean,0.0055691707
SPK_sum,0.0055076736
N_CLMBRAND4_NEW_mean,0.005493514
N_CLMBRAND3_NEW_sum,0.0054826564
N_CLMBRAND1_NEW_sum,0.00547219
UC_TRX_R4_16SUM_max,0.005470959
BRAND2_TRX_mean,0.0053959815
TOTAL_NRX_max,0.0053806473
BRAND2_TRX_sum,0.005352479
COPAY_mean,0.005336216
N_CLMBRAND1_sum,0.005207112
N_CLMBRAND2_NEW_mean,0.0051936535
UC_NRX_mean,0.0051840506
TOTAL_TRX_max,0.0051720575
N_CLMBRAND4_NEW_TO_BRAND_mean,0.0050712433
BRAND2_NBRX_sum,0.005062024
N_CLMBRAND4_NEW_TO_BRAND_sum,0.0050515225
BRAND2_NRX_sum,0.005041095
BRAND1_MARKET_SHARE_max,0.0050179637
N_CLMBRAND2_NEW_sum,0.0050070635
N_CLMBRAND2_max,0.0049969675
RTE_sum,0.0049659805
N_CLMBRAND4_NEW_sum,0.00493229
UC_NRX_max,0.004921435
BRAND2_T_GIDX_mean,0.0049205325
SPK_mean,0.0048760637
N_CLMBRAND4_sum,0.0048651313
STS_OTHER_STS_first,0.0047180653
N_CLMBRAND2_sum,0.004706173
N_CLMBRAND3NEW_TO_BRAND_max,0.004638264
STATE_7_first,0.004577827
BRAND1_TRX_sum,0.004551767
N_CLMBRAND3NEW_TO_BRAND_sum,0.0045451224
BRAND1_T_GIDX_mean,0.0044550127
SAMPLES_sum,0.004351286
IL23_NBRX_mean,0.0043501896
NBRx_RATIO_mean,0.0042216787
BRAND1_NTB_GIDX_max,0.004195925
N_CLMBRAND1_NEW_mean,0.0041793208
BRAND1_T_GIDX_max,0.0041639684
STATE_2_first,0.0041504833
SAMPLES_mean,0.0041083437
BRAND2_T_GIDX_max,0.004073451
BRAND2_NTB_GIDX_mean,0.0039959326
N_CLMBRAND3NEW_TO_BRAND_mean,0.003980146
N_CLMBRAND2_NEW_TO_BRAND_mean,0.003964353
N_CLMBRAND2_mean,0.0038590145
NBRx_RATIO_max,0.0038331067
COPAY_sum,0.0038138055
BRAND1_TRX_mean,0.0037898584
BRAND1_NRX_sum,0.0037042894
BRAND1_NRX_mean,0.0036870877
BRAND1_NTB_GIDX_mean,0.0035973699
N_CLMBRAND1_NEW_TO_BRAND_sum,0.0035499407
SPEC_GE_first,0.003434273
SPEC_IM_first,0.003383128
SPEC_NRP_first,0.0033620358
SPEC_GPFM_first,0.003229356
SPEC_OTHER_SPEC_first,0.003209906
N_CLMBRAND1_NEW_TO_BRAND_mean,0.002353925
BRAND2_NBRX_max,0.0022209848
BRAND1_TRX_max,0.0
BRAND2_TRX_max,0.0
N_CLMBRAND2_NEW_max,0.0
N_CLMBRAND1_NEW_TO_BRAND_max,0.0
N_CLMBRAND1_max,0.0
BRAND1_NBRX_sum,0.0
BRAND1_NBRX_mean,0.0
BRAND2_NRX_max,0.0
BRAND1_NRX_max,0.0
BRAND1_NBRX_max,0.0
N_CLMBRAND3_NEW_max,0.0
BRAND2_NBRX_mean,0.0
N_CLMBRAND4_NEW_TO_BRAND_max,0.0
N_CLMBRAND2_NEW_TO_BRAND_max,0.0
SPEC_PHA_first,0.0
